metric,baseline,method,primary,sessions_from,direction,a_mean,b_mean,diff,ci_low,ci_high,n_patients,assessment
intent_duplicate_rate,V1,V2,True,0,lower better,0.3769444444444444,0.2816666666666666,-0.09527777777777778,-0.13749999999999998,-0.05333333333333331,30,better
longitudinal_repetition,V1,V2,True,1,lower better,0.5513544973544974,0.4298174603174604,-0.12153703703703703,-0.17033068783068783,-0.07629365079365076,30,better
change_followup_rate,V1,V2,True,1,higher better,0.6277777777777779,0.8444444444444444,0.21666666666666667,0.052777777777777785,0.3722222222222222,30,better
min_per_category,V1,V2,True,0,higher better,4.0,3.7611111111111106,-0.23888888888888882,-0.31666666666666665,-0.16666666666666655,30,worse
synthetic_rating_quality,V1,V2,True,0,higher better,3.21150899667696,3.2575701490965465,0.04606115241958742,-0.005006812875931151,0.09729539224933995,30,no clear difference
exact_duplicate_rate,V1,V2,False,0,lower better,0.0,0.0,0.0,0.0,0.0,30,no clear difference
semantic_near_dup_pair_rate,V1,V2,False,0,lower better,0.0018713450292397662,0.0017543859649122805,-0.00011695906432748525,-0.0010526315789473684,0.0008479532163742692,30,no clear difference
semantic_diversity,V1,V2,False,0,higher better,0.6785097030660593,0.7269711151080565,0.04846141204199707,0.042148419225186876,0.05492847745409744,30,better
categories_covered,V1,V2,False,0,higher better,1.0,1.0,0.0,0.0,0.0,30,no clear difference
category_entropy,V1,V2,False,0,higher better,1.0,0.9978897124897561,-0.002110287510244113,-0.002799180230854777,-0.00143910849760025,30,worse
relevance_proxy_new,V1,V2,False,1,higher better,0.3007607624248638,0.3464189086273774,0.04565814620251352,0.02971236671005947,0.05966590379140699,30,better
replacement_churn,V1,V2,False,1,descriptive,0.39366666666666666,0.25799999999999995,-0.13566666666666669,-0.15733333333333338,-0.11300000000000002,30,descriptive
mean_words,V1,V2,False,0,descriptive,8.70972222222222,8.764999999999999,0.05527777777777807,-0.025277777777777347,0.12444444444444477,30,descriptive
invalid_output_rate,V1,V2,False,0,lower better,0.05666666666666668,0.05583333333333334,-0.0008333333333333362,-0.019629629629629632,0.017314814814814807,30,no clear difference
llm_calls,V1,V2,False,0,descriptive,4.333333333333332,1.0,-3.3333333333333326,-3.3333333333333326,-3.3333333333333326,30,descriptive
retries,V1,V2,False,0,lower better,0.0,0.0,0.0,0.0,0.0,30,no clear difference
generated_items,V1,V2,False,0,descriptive,11.95,35.0,23.050000000000004,22.961111111111112,23.13333333333333,30,descriptive
selection_ms,V1,V2,False,0,descriptive,4.687849517601232,12.742245413311242,8.054395895710009,7.642219510550299,8.565441987270281,30,descriptive
intent_duplicate_rate,V2-random-control,V2,True,0,lower better,0.30111111111111116,0.2816666666666666,-0.01944444444444444,-0.05694444444444445,0.015555555555555548,30,no clear difference
