method,pid,session,n_questions,exact_duplicate_rate,intent_duplicate_rate,categories_covered,min_per_category,category_entropy,replacement_churn,longitudinal_repetition,change_onsets,change_followup_rate,mean_words,non_question_items,invalid_output_rate,llm_calls,retries,generated_items,selection_ms,synthetic_rating_quality,semantic_near_dup_pair_rate,semantic_diversity,relevance_proxy_new
V1,P000,0,20,0.0,0.2,1.0,4,1.0,,,0,,8.55,0.0,0.0,1,0,20,0.0,2.661131909490681,0.005263157894736842,0.6377858521137816,0.2975857269538229
V1,P000,1,20,0.0,0.2,1.0,4,1.0,0.4,0.25,0,,8.55,0.0,0.0,5,0,10,9.649666026234627,2.9647409460150786,0.005263157894736842,0.6476189401582042,0.18581574098574624
V1,P000,2,20,0.0,0.35,1.0,4,1.0,0.35,0.7142857142857143,1,0.0,8.6,0.0,0.0,5,0,10,5.785000044852495,3.19126099460536,0.0,0.653408616305578,0.2708895790757855
V1,P000,3,20,0.0,0.45,1.0,4,1.0,0.25,1.0,0,,8.5,0.0,0.4,5,0,12,5.946167046204209,3.0995860895595833,0.0,0.6606126213363952,0.261300879362918
V1,P000,4,20,0.0,0.45,1.0,4,1.0,0.4,0.75,0,,9.1,0.0,0.0,5,0,10,5.757041973993182,3.107918785026198,0.0,0.6744463761124353,0.31866916296583236
V1,P000,5,20,0.0,0.45,1.0,4,1.0,0.35,0.5714285714285714,0,,8.75,0.0,0.0,5,0,10,5.681707989424467,2.9246288946398415,0.005263157894736842,0.676443993345162,0.29182503710494184
V1,P001,0,20,0.0,0.3,1.0,4,1.0,,,0,,8.4,0.0,0.0,1,0,20,0.0,2.576792416277164,0.0,0.6808806475560518,0.23620373577434184
V1,P001,1,20,0.0,0.4,1.0,4,1.0,0.4,0.5,1,0.0,8.7,0.0,0.0,5,0,10,5.763250170275569,2.574253953360526,0.0,0.6650677267761569,0.2786123674125887
V1,P001,2,20,0.0,0.2,1.0,4,1.0,0.5,0.6,1,1.0,9.0,0.0,0.0,5,0,10,5.701499991118908,2.6340513314480365,0.0,0.7082939091708209,0.28635816231332323
V1,P001,3,20,0.0,0.3,1.0,4,1.0,0.5,0.6,1,1.0,8.6,0.0,0.0,5,0,10,6.457125069573522,2.874617043053198,0.005263157894736842,0.7283318567920589,0.32254246738708386
V1,P001,4,20,0.0,0.2,1.0,4,1.0,0.5,0.6,0,,8.8,0.0,0.0,5,0,10,6.080541992560029,2.9971849661431813,0.0,0.6910282247600523,0.29933036607797525
V1,P001,5,20,0.0,0.3,1.0,4,1.0,0.5,0.8,1,0.0,8.8,0.0,0.0,5,0,10,5.73320803232491,2.8740280474991016,0.005263157894736842,0.6953917123837443,0.309520066421774
V1,P002,0,20,0.0,0.3,1.0,4,1.0,,,0,,8.8,0.0,0.0,1,0,20,0.0,3.442732731669795,0.0,0.7091247139036716,0.27275006140303876
V1,P002,1,20,0.0,0.3,1.0,4,1.0,0.25,0.6,1,0.0,8.9,0.0,0.4,5,0,12,5.492208059877157,3.4530997527674914,0.0,0.6914087787261517,0.2893506048843336
V1,P002,2,20,0.0,0.5,1.0,4,1.0,0.45,0.6666666666666666,1,1.0,8.9,0.0,0.0,5,0,10,5.636541871353984,3.530799118240413,0.0,0.6859217912107255,0.3664833250626417
V1,P002,3,20,0.0,0.65,1.0,4,1.0,0.4,0.375,1,0.0,8.85,0.0,0.2,5,0,11,5.556208081543446,3.5005166002708683,0.0,0.6517203839852134,0.2054761723314452
V1,P002,4,20,0.0,0.6,1.0,4,1.0,0.5,0.8,0,,8.8,0.0,0.0,5,0,10,5.518666934221983,3.5631818268025173,0.0,0.6832273041499615,0.2889131780955593
V1,P002,5,20,0.0,0.55,1.0,4,1.0,0.4,0.5,1,1.0,8.85,0.0,0.0,5,0,10,5.5650828871876,3.4150365662598716,0.0,0.6870883753214994,0.3786603687139482
V1,P003,0,20,0.0,0.4,1.0,4,1.0,,,0,,9.05,0.0,0.0,1,0,20,0.0,3.164401919732218,0.005263157894736842,0.6517433285493102,0.3179104833576304
